上海电信,#genre#
央视文化精品HD,http://60.223.72.245:8001/rtp/226.0.2.219:9664
女性时尚HD,http://171.124.65.234:8083/rtp/226.0.2.226:9720
女性时尚HD,http://183.184.46.132:8001/rtp/226.0.2.226:9720
女性时尚HD,http://60.223.72.245:8001/rtp/226.0.2.226:9720
宁夏卫视HD,http://171.124.65.234:8083/rtp/226.0.2.64:8424
宁夏卫视HD,http://183.184.46.132:8001/rtp/226.0.2.64:8424
宁夏卫视HD,http://60.223.72.245:8001/rtp/226.0.2.64:8424
安徽卫视HD,http://171.124.65.234:8083/rtp/226.0.2.145:9072
安徽卫视HD,http://183.184.46.132:8001/rtp/226.0.2.145:9072
安徽卫视HD,http://60.223.72.245:8001/rtp/226.0.2.145:9072
山东卫视4K,http://171.124.65.234:8083/rtp/226.0.1.251:2124
山东卫视4K,http://183.184.46.132:8001/rtp/226.0.1.251:2124
山东卫视4K,http://60.223.72.245:8001/rtp/226.0.1.251:2124
山东卫视HD,http://171.124.65.234:8083/rtp/226.0.2.149:9104
山东卫视HD,http://183.184.46.132:8001/rtp/226.0.2.149:9104
山东卫视HD,http://60.223.72.245:8001/rtp/226.0.2.149:9104
山东教育卫视HD,http://171.124.65.234:8083/rtp/226.0.2.130:8952
山东教育卫视HD,http://183.184.46.132:8001/rtp/226.0.2.130:8952
山东教育卫视HD,http://60.223.72.245:8001/rtp/226.0.2.130:8952
山西卫视HD,http://171.124.65.234:8083/rtp/226.0.2.152:9128
山西卫视HD,http://183.184.46.132:8001/rtp/226.0.2.152:9128
山西卫视HD,http://60.223.72.245:8001/rtp/226.0.2.152:9128
山西文体生活HD,http://171.124.65.234:8083/rtp/226.0.2.16:8040
山西文体生活HD,http://171.124.65.234:8083/rtp/226.0.2.237:9808
山西文体生活HD,http://183.184.46.132:8001/rtp/226.0.2.16:8040
山西文体生活HD,http://183.184.46.132:8001/rtp/226.0.2.237:9808
山西文体生活HD,http://60.223.72.245:8001/rtp/226.0.2.16:8040
山西文体生活HD,http://60.223.72.245:8001/rtp/226.0.2.237:9808
山西社会与法治HD,http://171.124.65.234:8083/rtp/226.0.2.238:9816
山西社会与法治HD,http://183.184.46.132:8001/rtp/226.0.2.238:9816
山西社会与法治HD,http://60.223.72.245:8001/rtp/226.0.2.238:9816
山西经济与科技HD,http://171.124.65.234:8083/rtp/226.0.2.236:9800
山西经济与科技HD,http://183.184.46.132:8001/rtp/226.0.2.236:9800
山西经济与科技HD,http://60.223.72.245:8001/rtp/226.0.2.236:9800
山西黄河HD,http://171.124.65.234:8083/rtp/226.0.2.235:9792
山西黄河HD,http://183.184.46.132:8001/rtp/226.0.2.235:9792
山西黄河HD,http://60.223.72.245:8001/rtp/226.0.2.235:9792
广东卫视4K,http://171.124.65.234:8083/rtp/226.0.1.245:2120
广东卫视4K,http://183.184.46.132:8001/rtp/226.0.1.245:2120
广东卫视4K,http://60.223.72.245:8001/rtp/226.0.1.245:2120
广东卫视HD,http://171.124.65.234:8083/rtp/226.0.2.146:9080
广东卫视HD,http://183.184.46.132:8001/rtp/226.0.2.146:9080
广东卫视HD,http://60.223.72.245:8001/rtp/226.0.2.146:9080
广西卫视HD,http://171.124.65.234:8083/rtp/226.0.2.231:9760
广西卫视HD,http://183.184.46.132:8001/rtp/226.0.2.231:9760
广西卫视HD,http://60.223.72.245:8001/rtp/226.0.2.231:9760
快乐垂钓HD,http://171.124.65.234:8083/rtp/226.0.2.214:9624
快乐垂钓HD,http://183.184.46.132:8001/rtp/226.0.2.214:9624
快乐垂钓HD,http://60.223.72.245:8001/rtp/226.0.2.214:9624
怀旧剧场HD,http://171.124.65.234:8083/rtp/226.0.2.224:9704
怀旧剧场HD,http://183.184.46.132:8001/rtp/226.0.2.224:9704
怀旧剧场HD,http://60.223.72.245:8001/rtp/226.0.2.224:9704
文物宝库HD,http://171.124.65.234:8083/rtp/226.0.2.110:8792
文物宝库HD,http://183.184.46.132:8001/rtp/226.0.2.110:8792
文物宝库HD,http://60.223.72.245:8001/rtp/226.0.2.110:8792
新疆卫视HD,http://171.124.65.234:8083/rtp/226.0.2.67:8448
新疆卫视HD,http://183.184.46.132:8001/rtp/226.0.2.67:8448
新疆卫视HD,http://60.223.72.245:8001/rtp/226.0.2.67:8448
旅游卫视HD,http://171.124.65.234:8083/rtp/226.0.2.212:9608
旅游卫视HD,http://183.184.46.132:8001/rtp/226.0.2.212:9608
旅游卫视HD,http://60.223.72.245:8001/rtp/226.0.2.212:9608
梨园频道HD,http://171.124.65.234:8083/rtp/226.0.2.115:8832
梨园频道HD,http://183.184.46.132:8001/rtp/226.0.2.115:8832
梨园频道HD,http://60.223.72.245:8001/rtp/226.0.2.115:8832
武术世界HD,http://171.124.65.234:8083/rtp/226.0.2.97:8688
武术世界HD,http://183.184.46.132:8001/rtp/226.0.2.97:8688
武术世界HD,http://60.223.72.245:8001/rtp/226.0.2.97:8688
江苏卫视4K,http://171.124.65.234:8083/rtp/226.0.1.249:2122
江苏卫视4K,http://183.184.46.132:8001/rtp/226.0.1.249:2122
江苏卫视4K,http://60.223.72.245:8001/rtp/226.0.1.249:2122
江苏卫视HD,http://171.124.65.234:8083/rtp/226.0.2.176:9320
江苏卫视HD,http://183.184.46.132:8001/rtp/226.0.2.176:9320
江苏卫视HD,http://60.223.72.245:8001/rtp/226.0.2.176:9320
江西卫视HD,http://171.124.65.234:8083/rtp/226.0.2.54:8344
江西卫视HD,http://183.184.46.132:8001/rtp/226.0.2.54:8344
江西卫视HD,http://60.223.72.245:8001/rtp/226.0.2.54:8344
河北卫视HD,http://171.124.65.234:8083/rtp/226.0.2.178:9336
河北卫视HD,http://183.184.46.132:8001/rtp/226.0.2.178:9336
河北卫视HD,http://60.223.72.245:8001/rtp/226.0.2.178:9336
河南卫视HD,http://171.124.65.234:8083/rtp/226.0.2.52:8328
河南卫视HD,http://183.184.46.132:8001/rtp/226.0.2.52:8328
河南卫视HD,http://60.223.72.245:8001/rtp/226.0.2.52:8328
法治天地HD,http://171.124.65.234:8083/rtp/226.0.2.83:8576
法治天地HD,http://183.184.46.132:8001/rtp/226.0.2.83:8576
法治天地HD,http://60.223.72.245:8001/rtp/226.0.2.83:8576
浙江卫视4K,http://171.124.65.234:8083/rtp/226.0.1.247:2123
浙江卫视4K,http://183.184.46.132:8001/rtp/226.0.1.247:2123
浙江卫视4K,http://60.223.72.245:8001/rtp/226.0.1.247:2123
浙江卫视HD,http://171.124.65.234:8083/rtp/226.0.2.144:9064
浙江卫视HD,http://183.184.46.132:8001/rtp/226.0.2.144:9064
浙江卫视HD,http://60.223.72.245:8001/rtp/226.0.2.144:9064
深圳卫视4K,http://171.124.65.234:8083/rtp/226.0.1.244:2119
深圳卫视4K,http://183.184.46.132:8001/rtp/226.0.1.244:2119
深圳卫视4K,http://60.223.72.245:8001/rtp/226.0.1.244:2119
深圳卫视HD,http://171.124.65.234:8083/rtp/226.0.2.147:9088
深圳卫视HD,http://183.184.46.132:8001/rtp/226.0.2.147:9088
深圳卫视HD,http://60.223.72.245:8001/rtp/226.0.2.147:9088
清徐HD,http://171.124.65.234:8083/rtp/226.0.2.191:9440
清徐HD,http://183.184.46.132:8001/rtp/226.0.2.191:9440
清徐HD,http://60.223.72.245:8001/rtp/226.0.2.191:9440
游戏风云HD,http://171.124.65.234:8083/rtp/226.0.2.78:8536
游戏风云HD,http://183.184.46.132:8001/rtp/226.0.2.78:8536
游戏风云HD,http://60.223.72.245:8001/rtp/226.0.2.78:8536
湖北卫视HD,http://171.124.65.234:8083/rtp/226.0.2.150:9112
湖北卫视HD,http://183.184.46.132:8001/rtp/226.0.2.150:9112
湖北卫视HD,http://60.223.72.245:8001/rtp/226.0.2.150:9112
湖南卫视4K,http://171.124.65.234:8083/rtp/226.0.1.246:2125
湖南卫视4K,http://183.184.46.132:8001/rtp/226.0.1.246:2125
湖南卫视4K,http://60.223.72.245:8001/rtp/226.0.1.246:2125
湖南卫视HD,http://171.124.65.234:8083/rtp/226.0.2.143:9056
湖南卫视HD,http://183.184.46.132:8001/rtp/226.0.2.143:9056
湖南卫视HD,http://60.223.72.245:8001/rtp/226.0.2.143:9056
甘肃卫视HD,http://171.124.65.234:8083/rtp/226.0.2.55:8352
甘肃卫视HD,http://183.184.46.132:8001/rtp/226.0.2.55:8352
甘肃卫视HD,http://60.223.72.245:8001/rtp/226.0.2.55:8352
生活时尚HD,http://171.124.65.234:8083/rtp/226.0.2.84:8584
生活时尚HD,http://183.184.46.132:8001/rtp/226.0.2.84:8584
生活时尚HD,http://60.223.72.245:8001/rtp/226.0.2.84:8584
电视指南HD,http://171.124.65.234:8083/rtp/226.0.2.218:9656
电视指南HD,http://183.184.46.132:8001/rtp/226.0.2.218:9656
电视指南HD,http://60.223.72.245:8001/rtp/226.0.2.218:9656
第一剧场HD,http://171.124.65.234:8083/rtp/226.0.2.221:9680
第一剧场HD,http://183.184.46.132:8001/rtp/226.0.2.221:9680
第一剧场HD,http://60.223.72.245:8001/rtp/226.0.2.221:9680
茶频道HD,http://171.124.65.234:8083/rtp/226.0.2.213:9616
茶频道HD,http://183.184.46.132:8001/rtp/226.0.2.213:9616
茶频道HD,http://60.223.72.245:8001/rtp/226.0.2.213:9616
西藏卫视HD,http://171.124.65.234:8083/rtp/226.0.2.66:8440
西藏卫视HD,http://183.184.46.132:8001/rtp/226.0.2.66:8440
西藏卫视HD,http://60.223.72.245:8001/rtp/226.0.2.66:8440
贵州卫视HD,http://171.124.65.234:8083/rtp/226.0.2.180:9352
贵州卫视HD,http://183.184.46.132:8001/rtp/226.0.2.180:9352
贵州卫视HD,http://60.223.72.245:8001/rtp/226.0.2.180:9352
辽宁卫视HD,http://171.124.65.234:8083/rtp/226.0.2.173:9296
辽宁卫视HD,http://183.184.46.132:8001/rtp/226.0.2.173:9296
辽宁卫视HD,http://60.223.72.245:8001/rtp/226.0.2.173:9296
都市剧场HD,http://171.124.65.234:8083/rtp/226.0.2.81:8560
都市剧场HD,http://183.184.46.132:8001/rtp/226.0.2.81:8560
都市剧场HD,http://60.223.72.245:8001/rtp/226.0.2.81:8560
重庆卫视HD,http://171.124.65.234:8083/rtp/226.0.2.174:9304
重庆卫视HD,http://183.184.46.132:8001/rtp/226.0.2.174:9304
重庆卫视HD,http://60.223.72.245:8001/rtp/226.0.2.174:9304
金色学堂HD,http://171.124.65.234:8083/rtp/226.0.2.182:9368
金色学堂HD,http://183.184.46.132:8001/rtp/226.0.2.182:9368
金色学堂HD,http://60.223.72.245:8001/rtp/226.0.2.182:9368
金鹰卡通HD,http://171.124.65.234:8083/rtp/226.0.2.172:9288
金鹰卡通HD,http://183.184.46.132:8001/rtp/226.0.2.172:9288
金鹰卡通HD,http://60.223.72.245:8001/rtp/226.0.2.172:9288
金鹰纪实HD,http://171.124.65.234:8083/rtp/226.0.2.194:9464
金鹰纪实HD,http://183.184.46.132:8001/rtp/226.0.2.194:9464
金鹰纪实HD,http://60.223.72.245:8001/rtp/226.0.2.194:9464
风云剧场HD,http://171.124.65.234:8083/rtp/226.0.2.227:9728
风云剧场HD,http://183.184.46.132:8001/rtp/226.0.2.227:9728
风云剧场HD,http://60.223.72.245:8001/rtp/226.0.2.227:9728
风云足球HD,http://171.124.65.234:8083/rtp/226.0.2.225:9712
风云足球HD,http://183.184.46.132:8001/rtp/226.0.2.225:9712
风云足球HD,http://60.223.72.245:8001/rtp/226.0.2.225:9712
风云音乐HD,http://171.124.65.234:8083/rtp/226.0.2.220:9672
风云音乐HD,http://183.184.46.132:8001/rtp/226.0.2.220:9672
风云音乐HD,http://60.223.72.245:8001/rtp/226.0.2.220:9672
高尔夫网球HD,http://171.124.65.234:8083/rtp/226.0.2.217:9648
高尔夫网球HD,http://183.184.46.132:8001/rtp/226.0.2.217:9648
高尔夫网球HD,http://60.223.72.245:8001/rtp/226.0.2.217:9648
黑龙江卫视HD,http://171.124.65.234:8083/rtp/226.0.2.151:9120
黑龙江卫视HD,http://183.184.46.132:8001/rtp/226.0.2.151:9120
黑龙江卫视HD,http://60.223.72.245:8001/rtp/226.0.2.151:9120

广西电信,#genre#
CCTV1,http://113.17.152.50:8001/rtp/239.81.0.102:4056
CCTV1,http://113.17.152.50:8001/rtp/239.81.0.13:4056
CCTV10,http://113.17.152.50:8001/rtp/239.81.0.22:4056
CCTV10,http://113.17.152.50:8001/rtp/239.81.0.118:4056
CCTV11,http://113.17.152.50:8001/rtp/239.81.0.23:4056
CCTV11,http://113.17.152.50:8001/rtp/239.81.0.229:4056
CCTV12,http://113.17.152.50:8001/rtp/239.81.0.24:4056
CCTV12,http://113.17.152.50:8001/rtp/239.81.0.119:4056
CCTV13,http://113.17.152.50:8001/rtp/239.81.0.206:4056
CCTV13,http://113.17.152.50:8001/rtp/239.81.0.26:4056
CCTV14,http://113.17.152.50:8001/rtp/239.81.0.25:4056
CCTV14,http://113.17.152.50:8001/rtp/239.81.0.120:4056
CCTV15,http://113.17.152.50:8001/rtp/239.81.0.27:4056
CCTV15,http://113.17.152.50:8001/rtp/239.81.0.230:4056
CCTV16,http://113.17.152.50:8001/rtp/239.81.0.142:4056
CCTV16 4K,http://113.17.152.50:8001/rtp/239.81.0.144:4056
CCTV17,http://113.17.152.50:8001/rtp/239.81.0.228:4056
CCTV17,http://113.17.152.50:8001/rtp/239.81.0.227:4056
CCTV2,http://113.17.152.50:8001/rtp/239.81.0.14:4056
CCTV2,http://113.17.152.50:8001/rtp/239.81.0.115:4056
CCTV3,http://113.17.152.50:8001/rtp/239.81.0.231:4056
CCTV4,http://113.17.152.50:8001/rtp/239.81.0.96:4056
CCTV4,http://113.17.152.50:8001/rtp/239.81.0.16:4056
CCTV4K,http://113.17.152.50:8001/rtp/239.81.0.196:4056
CCTV5,http://113.17.152.50:8001/rtp/239.81.0.232:4056
CCTV5+,http://113.17.152.50:8001/rtp/239.81.0.101:4056
CCTV6,http://113.17.152.50:8001/rtp/239.81.0.233:4056
CCTV7,http://113.17.152.50:8001/rtp/239.81.0.116:4056
CCTV7,http://113.17.152.50:8001/rtp/239.81.0.19:4056
CCTV8,http://113.17.152.50:8001/rtp/239.81.0.234:4056
CCTV9,http://113.17.152.50:8001/rtp/239.81.0.117:4056
CCTV9,http://113.17.152.50:8001/rtp/239.81.0.21:4056
CETV1,http://113.17.152.50:8001/rtp/239.81.0.52:4056
CETV1,http://113.17.152.50:8001/rtp/239.81.0.92:4056
CETV2,http://113.17.152.50:8001/rtp/239.81.0.245:4056
CETV4,http://113.17.152.50:8001/rtp/239.81.0.188:4056
CETV4,http://113.17.152.50:8001/rtp/239.81.0.246:4056
CGTN,http://113.17.152.50:8001/rtp/239.81.0.28:4056
CHC动作电影,http://113.17.152.50:8001/rtp/239.81.0.239:4056
CHC家庭影院,http://113.17.152.50:8001/rtp/239.81.0.238:4056
CHC影迷电影,http://113.17.152.50:8001/rtp/239.81.0.240:4056
IPTV动画,http://113.17.152.50:8001/rtp/239.81.0.100:4056
三沙卫视,http://113.17.152.50:8001/rtp/239.81.0.242:4056
东南卫视,http://113.17.152.50:8001/rtp/239.81.0.59:4056
东南卫视,http://113.17.152.50:8001/rtp/239.81.0.215:4056
东方卫视,http://113.17.152.50:8001/rtp/239.81.0.111:4056
东方卫视,http://113.17.152.50:8001/rtp/239.81.0.29:4056
东方卫视4K,http://113.17.152.50:8001/rtp/239.81.0.76:4056
中国天气,http://113.17.152.50:8001/rtp/239.81.0.63:4056
云南卫视,http://113.17.152.50:8001/rtp/239.81.0.44:4056
云南卫视,http://113.17.152.50:8001/rtp/239.81.0.45:4056
优购物,http://113.17.152.50:8001/rtp/239.81.0.132:4056
先锋乒羽,http://113.17.152.50:8001/rtp/239.81.0.236:4056
兵团卫视,http://113.17.152.50:8001/rtp/239.81.0.213:4056
兵团卫视,http://113.17.152.50:8001/rtp/239.81.0.223:4056
内蒙古卫视,http://113.17.152.50:8001/rtp/239.81.0.54:4056
北京卫视,http://113.17.152.50:8001/rtp/239.81.0.30:4056
北京卫视,http://113.17.152.50:8001/rtp/239.81.0.109:4056
北京卫视4K,http://113.17.152.50:8001/rtp/239.81.0.226:4056
北京卫视4K,http://113.17.152.50:8001/rtp/239.81.0.225:4056
北京纪实科教,http://113.17.152.50:8001/rtp/239.81.0.195:4056
北海综合,http://113.17.152.50:8001/rtp/239.81.0.154:4056
北海综合,http://113.17.152.50:8001/rtp/239.81.0.136:4056
华数电影4K,http://113.17.152.50:8001/rtp/239.81.0.123:4056
南宁公共,http://113.17.152.50:8001/rtp/239.81.0.129:4056
南宁公共,http://113.17.152.50:8001/rtp/239.81.0.141:4056
南宁影视娱乐,http://113.17.152.50:8001/rtp/239.81.0.128:4056
南宁影视娱乐,http://113.17.152.50:8001/rtp/239.81.0.140:4056
南宁文旅生活,http://113.17.152.50:8001/rtp/239.81.0.139:4056
南宁文旅生活,http://113.17.152.50:8001/rtp/239.81.0.127:4056
南宁新闻综合,http://113.17.152.50:8001/rtp/239.81.0.241:4056
南宁新闻综合,http://113.17.152.50:8001/rtp/239.81.0.126:4056
卡酷少儿,http://113.17.152.50:8001/rtp/239.81.0.62:4056
厦门卫视,http://113.17.152.50:8001/rtp/239.81.0.212:4056
吉林卫视,http://113.17.152.50:8001/rtp/239.81.0.143:4056
吉林卫视,http://113.17.152.50:8001/rtp/239.81.0.58:4056
嘉佳卡通,http://113.17.152.50:8001/rtp/239.81.0.64:4056
四川卫视,http://113.17.152.50:8001/rtp/239.81.0.43:4056
四川卫视,http://113.17.152.50:8001/rtp/239.81.0.130:4056
四川卫视4K,http://113.17.152.50:8001/rtp/239.81.0.80:4056
大湾区卫狈,http://113.17.152.50:8001/rtp/239.81.0.32:4056
天津卫视,http://113.17.152.50:8001/rtp/239.81.0.50:4056
天津卫视,http://113.17.152.50:8001/rtp/239.81.0.113:4056
央广购物,http://113.17.152.50:8001/rtp/239.81.0.131:4056
宁夏卫视,http://113.17.152.50:8001/rtp/239.81.0.200:4056
宁夏卫视,http://113.17.152.50:8001/rtp/239.81.0.60:4056
安徽卫视,http://113.17.152.50:8001/rtp/239.81.0.211:4056
安徽卫视,http://113.17.152.50:8001/rtp/239.81.0.37:4056
家有购物,http://113.17.152.50:8001/rtp/239.81.0.224:4056
山东卫视,http://113.17.152.50:8001/rtp/239.81.0.39:4056
山东卫视,http://113.17.152.50:8001/rtp/239.81.0.114:4056
山东卫视4K,http://113.17.152.50:8001/rtp/239.81.0.78:4056
山东教育卫视,http://113.17.152.50:8001/rtp/239.81.0.93:4056
山西卫视,http://113.17.152.50:8001/rtp/239.81.0.49:4056
崇左综合,http://113.17.152.50:8001/rtp/239.81.0.171:4056
崇左综合,http://113.17.152.50:8001/rtp/239.81.0.218:4056
广东卫视,http://113.17.152.50:8001/rtp/239.81.0.36:4056
广东卫视,http://113.17.152.50:8001/rtp/239.81.0.104:4056
广东卫视4K,http://113.17.152.50:8001/rtp/239.81.0.252:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.79:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.251:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.205:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.253:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.203:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.202:4056
广西IPTV宣传,http://113.17.152.50:8001/rtp/239.81.0.201:4056
广西乐思购,http://113.17.152.50:8001/rtp/239.81.0.9:4056
广西卫视,http://113.17.152.50:8001/rtp/239.81.0.107:4056
广西卫视,http://113.17.152.50:8001/rtp/239.81.0.2:4056
广西国际,http://113.17.152.50:8001/rtp/239.81.0.8:4056
广西影视,http://113.17.152.50:8001/rtp/239.81.0.7:4056
广西影视,http://113.17.152.50:8001/rtp/239.81.0.250:4056
广西新闻,http://113.17.152.50:8001/rtp/239.81.0.5:4056
广西新闻,http://113.17.152.50:8001/rtp/239.81.0.248:4056
广西移动,http://113.17.152.50:8001/rtp/239.81.0.10:4056
广西移动,http://113.17.152.50:8001/rtp/239.81.0.216:4056
广西综艺旅游,http://113.17.152.50:8001/rtp/239.81.0.3:4056
广西综艺旅游,http://113.17.152.50:8001/rtp/239.81.0.214:4056
广西视听,http://113.17.152.50:8001/rtp/239.81.0.208:4056
广西都市,http://113.17.152.50:8001/rtp/239.81.0.4:4056
广西都市,http://113.17.152.50:8001/rtp/239.81.0.247:4056
新动漫,http://113.17.152.50:8001/rtp/239.81.0.235:4056
新疆卫视,http://113.17.152.50:8001/rtp/239.81.0.46:4056
新疆卫视,http://113.17.152.50:8001/rtp/239.81.0.122:4056
未知节目1,http://113.17.152.50:8001/rtp/239.81.0.189:4056
未知节目1,http://113.17.152.50:8001/rtp/239.81.0.194:4056
未知节目1,http://113.17.152.50:8001/rtp/239.81.0.197:4056
未知节目1,http://113.17.152.50:8001/rtp/239.81.0.217:4056
未知节目2,http://113.17.152.50:8001/rtp/239.81.0.166:4056
未知节目3,http://113.17.152.50:8001/rtp/239.81.0.1:4056
来宾综合,http://113.17.152.50:8001/rtp/239.81.0.173:4056
来宾综合,http://113.17.152.50:8001/rtp/239.81.0.170:4056
柳州综合,http://113.17.152.50:8001/rtp/239.81.0.175:4056
柳州综合,http://113.17.152.50:8001/rtp/239.81.0.134:4056
桂林公共,http://113.17.152.50:8001/rtp/239.81.0.222:4056
桂林科教,http://113.17.152.50:8001/rtp/239.81.0.221:4056
桂林综合,http://113.17.152.50:8001/rtp/239.81.0.135:4056
桂林综合,http://113.17.152.50:8001/rtp/239.81.0.174:4056
梧州综合,http://113.17.152.50:8001/rtp/239.81.0.244:4056
梧州综合,http://113.17.152.50:8001/rtp/239.81.0.176:4056
求索纪录,http://113.17.152.50:8001/rtp/239.81.0.153:4056
江苏卫视,http://113.17.152.50:8001/rtp/239.81.0.106:4056
江苏卫视,http://113.17.152.50:8001/rtp/239.81.0.34:4056
江苏卫视4K,http://113.17.152.50:8001/rtp/239.81.0.73:4056
江西卫视,http://113.17.152.50:8001/rtp/239.81.0.204:4056
江西卫视,http://113.17.152.50:8001/rtp/239.81.0.38:4056
河北卫视,http://113.17.152.50:8001/rtp/239.81.0.94:4056
河北卫视,http://113.17.152.50:8001/rtp/239.81.0.51:4056
河南卫视,http://113.17.152.50:8001/rtp/239.81.0.220:4056
河池综合,http://113.17.152.50:8001/rtp/239.81.0.167:4056
河池综合,http://113.17.152.50:8001/rtp/239.81.0.168:4056
浙江卫视,http://113.17.152.50:8001/rtp/239.81.0.31:4056
浙江卫视,http://113.17.152.50:8001/rtp/239.81.0.108:4056
浙江卫视4K,http://113.17.152.50:8001/rtp/239.81.0.75:4056
海南卫视,http://113.17.152.50:8001/rtp/239.81.0.199:4056
海南卫视,http://113.17.152.50:8001/rtp/239.81.0.48:4056
深圳卫视,http://113.17.152.50:8001/rtp/239.81.0.57:4056
深圳卫视4K,http://113.17.152.50:8001/rtp/239.81.0.254:4056
湖北卫视,http://113.17.152.50:8001/rtp/239.81.0.112:4056
湖北卫视,http://113.17.152.50:8001/rtp/239.81.0.41:4056
湖南卫视,http://113.17.152.50:8001/rtp/239.81.0.40:4056
湖南卫视,http://113.17.152.50:8001/rtp/239.81.0.110:4056
湖南卫视4K,http://113.17.152.50:8001/rtp/239.81.0.72:4056
玉林综合,http://113.17.152.50:8001/rtp/239.81.0.138:4056
玉林综合,http://113.17.152.50:8001/rtp/239.81.0.177:4056
甘肃卫视,http://113.17.152.50:8001/rtp/239.81.0.207:4056
百色综合,http://113.17.152.50:8001/rtp/239.81.0.149:4056
百色综合,http://113.17.152.50:8001/rtp/239.81.0.150:4056
精彩影视,http://113.17.152.50:8001/rtp/239.81.0.152:4056
聚鲨环球精选,http://113.17.152.50:8001/rtp/239.81.0.98:4056
西藏卫视,http://113.17.152.50:8001/rtp/239.81.0.55:4056
西藏卫视,http://113.17.152.50:8001/rtp/239.81.0.90:4056
购物,http://113.17.152.50:8001/rtp/239.81.0.124:4056
贵州卫视,http://113.17.152.50:8001/rtp/239.81.0.95:4056
贵州卫视,http://113.17.152.50:8001/rtp/239.81.0.56:4056
贵港综合,http://113.17.152.50:8001/rtp/239.81.0.169:4056
贵港综合,http://113.17.152.50:8001/rtp/239.81.0.172:4056
贺州综合,http://113.17.152.50:8001/rtp/239.81.0.163:4056
贺州综合,http://113.17.152.50:8001/rtp/239.81.0.137:4056
辽宁卫视,http://113.17.152.50:8001/rtp/239.81.0.35:4056
辽宁卫视,http://113.17.152.50:8001/rtp/239.81.0.210:4056
重庆卫视,http://113.17.152.50:8001/rtp/239.81.0.47:4056
金鹰卡通,http://113.17.152.50:8001/rtp/239.81.0.61:4056
金鹰卡通,http://113.17.152.50:8001/rtp/239.81.0.148:4056
金鹰纪实,http://113.17.152.50:8001/rtp/239.81.0.91:4056
钦州综合,http://113.17.152.50:8001/rtp/239.81.0.164:4056
钦州综合,http://113.17.152.50:8001/rtp/239.81.0.165:4056
防城港综合,http://113.17.152.50:8001/rtp/239.81.0.151:4056
陕西卫视,http://113.17.152.50:8001/rtp/239.81.0.89:4056
青海卫视,http://113.17.152.50:8001/rtp/239.81.0.53:4056
黑龙江卫视,http://113.17.152.50:8001/rtp/239.81.0.33:4056
黑龙江卫视,http://113.17.152.50:8001/rtp/239.81.0.105:4056

河南联通,#genre#
BRTV纪实科教,http://42.224.199.112:8090/rtp/225.1.5.74:1384
BRTV纪实科教,http://42.232.114.192:4022/rtp/225.1.5.74:1384
CCTV-1,http://42.224.199.112:8090/rtp/225.1.4.1:1030
CCTV-1,http://42.232.114.192:4022/rtp/225.1.4.1:1030
CCTV-10,http://42.224.199.112:8090/rtp/225.1.4.10:1039
CCTV-10,http://42.232.114.192:4022/rtp/225.1.4.10:1039
CCTV-10高清,http://42.224.199.112:8090/rtp/225.1.4.78:1107
CCTV-10高清,http://42.232.114.192:4022/rtp/225.1.4.78:1107
CCTV-11,http://42.224.199.112:8090/rtp/225.1.4.11:1040
CCTV-11,http://42.232.114.192:4022/rtp/225.1.4.11:1040
CCTV-11高清,http://42.224.199.112:8090/rtp/225.1.4.215:1268
CCTV-11高清,http://42.232.114.192:4022/rtp/225.1.4.215:1268
CCTV-12,http://42.224.199.112:8090/rtp/225.1.4.12:1041
CCTV-12,http://42.232.114.192:4022/rtp/225.1.4.12:1041
CCTV-12高清,http://42.224.199.112:8090/rtp/225.1.4.79:1108
CCTV-12高清,http://42.232.114.192:4022/rtp/225.1.4.79:1108
CCTV-13,http://42.224.199.112:8090/rtp/225.1.4.13:1042
CCTV-13,http://42.232.114.192:4022/rtp/225.1.4.13:1042
CCTV-13高清,http://42.224.199.112:8090/rtp/225.1.4.113:1293
CCTV-13高清,http://42.232.114.192:4022/rtp/225.1.4.113:1293
CCTV-14,http://42.224.199.112:8090/rtp/225.1.4.14:1043
CCTV-14,http://42.232.114.192:4022/rtp/225.1.4.14:1043
CCTV-14高清,http://42.224.199.112:8090/rtp/225.1.4.80:1109
CCTV-14高清,http://42.232.114.192:4022/rtp/225.1.4.80:1109
CCTV-15,http://42.224.199.112:8090/rtp/225.1.4.15:1044
CCTV-15,http://42.232.114.192:4022/rtp/225.1.4.15:1044
CCTV-15高清,http://42.224.199.112:8090/rtp/225.1.4.216:1269
CCTV-15高清,http://42.232.114.192:4022/rtp/225.1.4.216:1269
CCTV-16高清,http://42.224.199.112:8090/rtp/225.1.5.46:1356
CCTV-16高清,http://42.232.114.192:4022/rtp/225.1.5.46:1356
CCTV-17,http://42.224.199.112:8090/rtp/225.1.4.227:2507
CCTV-17,http://42.232.114.192:4022/rtp/225.1.4.227:2507
CCTV-17高清,http://42.224.199.112:8090/rtp/225.1.4.226:2506
